name,roaster,origin,variety,process,roast_level,tasting_notes,cupping_score,source_url
Finca Gatomboya Geisha,Bonanza,"Colombia, Nariño",Geisha,natural,medium_light,caramel|orange|cherry,87.00,
Finca Karogoto Castillo,Bonanza,"Colombia, Nariño",Castillo,anaerobic,medium,panela|orange|cherry,88.50,
Nariño Lot #13,La Cabra,"Colombia, Nariño",Caturra,honey,dark,red apple|caramel|panela,89.75,
Worka Nariño,The Barn,"Colombia, Nariño",Tabi,washed,light,panela|red apple|plum,86.25,
Danche Tolima,Drop Coffee,"Colombia, Tolima",Castillo,natural,medium,cherry|plum|red apple,88.75,
Finca Chelbesa,Gardelli,"Colombia, Tolima",Caturra,washed,light,panela|red apple|plum,84.75,
Finca Deri Kochoha,April Coffee,"Colombia, Tolima",Pink Bourbon,natural,dark,cherry|plum|red apple,88.00,
Finca Los Pirineos,Drop Coffee,"Colombia, Tolima",Pink Bourbon,natural,medium,plum|red apple|orange,85.50,
Tolima,Dak Coffee,"Colombia, Tolima",Castillo,washed,medium,red apple|chocolate|caramel,86.50,
Tolima,Brandywine,"Colombia, Tolima",Tabi,honey,medium,panela|plum|red apple,85.75,
Tolima Lot #4,Black & White,"Colombia, Tolima",Geisha,washed,medium_light,caramel|panela|orange,86.00,
Brunca Lot #13,Gardelli,"Costa Rica, Brunca",Villa Sarchí,washed,medium,raisin|mandarin|apricot,85.25,
Worka Brunca,Tim Wendelboe,"Costa Rica, Brunca",Catuaí,honey,medium,apricot|honey|raisin,87.00,
Finca Buenos Aires SL28,Black & White,"Costa Rica, Tarrazú",SL28,anaerobic,light,mandarin|raisin|cane sugar,87.00,
Finca Karogoto Villa Sarchí,Drop Coffee,"Costa Rica, Tarrazú",Villa Sarchí,anaerobic,light,apricot|mandarin|cane sugar,84.75,
Finca Los Pirineos,Gardelli,"Costa Rica, Tarrazú",SL28,anaerobic,medium,apricot|cane sugar|raisin,84.25,
Idido Tarrazú,Ditta Artigianale,"Costa Rica, Tarrazú",Villa Sarchí,anaerobic,light,honey|apricot|raisin,86.00,
Tarrazú,Sey Coffee,"Costa Rica, Tarrazú",Catuaí,washed,light,mandarin|cane sugar|honey,87.50,
Tarrazú,Dak Coffee,"Costa Rica, Tarrazú",SL28,natural,medium_light,raisin|honey|mandarin,85.00,
Tarrazú,Square Mile,"Costa Rica, Tarrazú",Caturra,anaerobic,medium,mandarin|cane sugar|raisin,86.00,
Tarrazú Lot #16,Bonanza,"Costa Rica, Tarrazú",SL28,washed,medium_dark,raisin|mandarin|honey,85.25,
Tarrazú SL28,Luna,"Costa Rica, Tarrazú",SL28,washed,light,cane sugar|raisin|honey,87.25,
Tarrazú Villa Sarchí,Bonanza,"Costa Rica, Tarrazú",Villa Sarchí,natural,medium_dark,honey|apricot|mandarin,85.75,
Finca El Diamante SL28,Square Mile,"Costa Rica, West Valley",SL28,honey,dark,honey|raisin|apricot,87.00,
Finca La Esperanza,Hydrangea,"Costa Rica, West Valley",Catuaí,anaerobic,light,honey|raisin|cane sugar,86.50,
Nemba West Valley,Rubens Gardelli,"Costa Rica, West Valley",Villa Sarchí,natural,medium,apricot|raisin|cane sugar,84.50,
West Valley,Sey Coffee,"Costa Rica, West Valley",Catuaí,anaerobic,medium_dark,apricot|honey|mandarin,85.00,
West Valley,Hydrangea,"Costa Rica, West Valley",Caturra,washed,medium_light,mandarin|apricot|cane sugar,87.75,
West Valley Lot #12,April Coffee,"Costa Rica, West Valley",SL28,honey,dark,cane sugar|raisin|apricot,85.00,
West Valley Lot #13,Square Mile,"Costa Rica, West Valley",Villa Sarchí,washed,light,mandarin|honey|cane sugar,87.75,
West Valley Lot #17,Sey Coffee,"Costa Rica, West Valley",Catuaí,washed,dark,mandarin|raisin|honey,87.00,
Worka West Valley,Passenger,"Costa Rica, West Valley",Caturra,natural,medium,apricot|cane sugar|mandarin,87.75,
Bumbogo Loja,Friedhats,"Ecuador, Loja",Sidra,natural,dark,tropical fruit|sugarcane|pineapple,87.50,
Finca Deri Kochoha Geisha,Dak Coffee,"Ecuador, Loja",Geisha,anaerobic,light,tropical fruit|rose|sugarcane,86.00,
Loja Lot #18,April Coffee,"Ecuador, Loja",Typica Mejorada,washed,medium_light,rose|sugarcane|pineapple,89.00,
Loja Lot #33,Passenger,"Ecuador, Loja",Geisha,honey,light,sugarcane|tropical fruit|rose,89.50,
Finca El Paraíso Typica Mejorada,Coffee Collective,"Ecuador, Pichincha",Typica Mejorada,washed,medium,pineapple|sugarcane|rose,88.00,
Finca La Esperanza Typica Mejorada,Brandywine,"Ecuador, Pichincha",Typica Mejorada,honey,medium_light,pineapple|tropical fruit|sugarcane,86.50,
Konga Pichincha,La Cabra,"Ecuador, Pichincha",Geisha,washed,light,tropical fruit|pineapple|rose,87.75,
Konga Pichincha,Heart Roasters,"Ecuador, Pichincha",Typica Mejorada,natural,medium,sugarcane|rose|tropical fruit,90.00,
Pichincha Geisha,Manhattan Coffee,"Ecuador, Pichincha",Geisha,washed,medium_light,tropical fruit|rose|pineapple,90.00,
Pichincha Geisha,La Cabra,"Ecuador, Pichincha",Geisha,washed,light,sugarcane|pineapple|rose,90.25,
Apaneca,Heart Roasters,"El Salvador, Apaneca",Bourbon,washed,medium_light,kiwi|toffee|vanilla,85.00,
Apaneca Bourbon,Dak Coffee,"El Salvador, Apaneca",Bourbon,washed,medium,red grape|toffee|vanilla,87.25,
Apaneca Pacas,Bonanza,"El Salvador, Apaneca",Pacas,washed,light,nougat|kiwi|toffee,88.25,
Bumbogo Apaneca,Black & White,"El Salvador, Apaneca",Bourbon,natural,medium,vanilla|nougat|red grape,88.25,
Danche Apaneca,Hydrangea,"El Salvador, Apaneca",Pacamara,natural,light,red grape|kiwi|toffee,87.75,
Finca Chelbesa Pacamara,Onyx Coffee Lab,"El Salvador, Apaneca",Pacamara,washed,medium_dark,vanilla|nougat|kiwi,87.00,
Finca Chelbesa Pacamara,Prodigal,"El Salvador, Apaneca",Pacamara,natural,medium_dark,nougat|kiwi|toffee,85.00,
Finca La Palma,La Cabra,"El Salvador, Apaneca",Pacamara,honey,light,red grape|toffee|kiwi,84.75,
Finca Deri Kochoha,Ditta Artigianale,"El Salvador, Santa Ana",Bourbon,natural,medium_dark,vanilla|red grape|toffee,84.00,
Santa Ana Bourbon,Koppi,"El Salvador, Santa Ana",Bourbon,washed,medium,kiwi|red grape|nougat,87.00,
Santa Ana Pacas,Prodigal,"El Salvador, Santa Ana",Pacas,washed,medium_dark,vanilla|kiwi|nougat,87.00,
Bench Maji,La Cabra,"Ethiopia, Bench Maji",Dega,washed,medium,peach|jasmine|black tea,86.25,
Bench Maji 74110,Koppi,"Ethiopia, Bench Maji",74110,anaerobic,light,lemon|blueberry|apricot,88.75,
Guji,Gardelli,"Ethiopia, Guji",Kurume,honey,dark,jasmine|lemon|black tea,88.50,
Finca San José Dega,Koppi,"Ethiopia, Sidamo",Dega,natural,medium,bergamot|peach|apricot,90.50,
Gitwe Sidamo,April Coffee,"Ethiopia, Sidamo",Dega,honey,medium_dark,apricot|jasmine|lemon,89.50,
Konga Sidamo,Dak Coffee,"Ethiopia, Sidamo",Dega,washed,dark,blueberry|lavender|lemon,90.25,
Gitwe Yirgacheffe,Gardelli,"Ethiopia, Yirgacheffe",74158,anaerobic,medium,blueberry|apricot|black tea,88.50,
Yirgacheffe 74158,The Barn,"Ethiopia, Yirgacheffe",74158,natural,light,lavender|peach|lemon,90.25,
Yirgacheffe Lot #24,Friedhats,"Ethiopia, Yirgacheffe",74158,anaerobic,light,apricot|black tea|lavender,88.50,
Antigua,Gardelli,"Guatemala, Antigua",Pacamara,anaerobic,light,orange zest|green apple|almond,84.50,
Atitlán,Drop Coffee,"Guatemala, Atitlán",Caturra,honey,light,milk chocolate|honey|orange zest,87.00,
Atitlán Lot #22,Heart Roasters,"Guatemala, Atitlán",Maragogype,washed,medium,milk chocolate|almond|orange zest,85.00,
Danche Atitlán,Square Mile,"Guatemala, Atitlán",Pacamara,washed,medium,green apple|orange zest|milk chocolate,86.50,
Konga Atitlán,April Coffee,"Guatemala, Atitlán",Caturra,honey,dark,almond|orange zest|green apple,86.50,
Konga Atitlán,Gardelli,"Guatemala, Atitlán",Pacamara,honey,dark,orange zest|almond|honey,84.50,
Finca Chelbesa Pacamara,Coffee Collective,"Guatemala, Cobán",Pacamara,anaerobic,medium,milk chocolate|almond|honey,84.50,
Finca La Esperanza,April Coffee,"Guatemala, Cobán",Pacamara,anaerobic,dark,honey|green apple|orange zest,85.25,
Huehuetenango Caturra,S&W Roasting,"Guatemala, Huehuetenango",Caturra,natural,medium_light,orange zest|milk chocolate|almond,87.75,
Huehuetenango Pacamara,Gardelli,"Guatemala, Huehuetenango",Pacamara,natural,light,orange zest|almond|honey,85.00,
Danche Copán,Gardelli,"Honduras, Copán",Catuaí,washed,dark,floral honey|sweet lime|chocolate,84.50,
Danche Copán,Ditta Artigianale,"Honduras, Copán",Catuaí,washed,light,chocolate|stone fruit|sweet lime,83.75,
Finca Buenos Aires,Sey Coffee,"Honduras, Copán",Parainema,honey,light,floral honey|sweet lime|chocolate,84.50,
Finca Chelbesa,Hydrangea,"Honduras, Copán",Parainema,washed,medium_light,chocolate|stone fruit|floral honey,84.75,
Finca Deri Kochoha,La Cabra,"Honduras, Copán",Parainema,honey,dark,sweet lime|floral honey|chocolate,87.00,
Finca El Mirador,April Coffee,"Honduras, Copán",Catuaí,natural,light,chocolate|floral honey|stone fruit,86.50,
Finca La Palma Parainema,Square Mile,"Honduras, Copán",Parainema,natural,light,stone fruit|sweet lime|floral honey,85.75,
Finca Las Flores,Ditta Artigianale,"Honduras, Copán",Bourbon,washed,light,floral honey|stone fruit|chocolate,83.75,
Finca Las Flores Parainema,Manhattan Coffee,"Honduras, Copán",Parainema,natural,medium_light,stone fruit|sweet lime|floral honey,87.25,
Finca La Palma,Friedhats,"Honduras, Marcala",Parainema,natural,medium_light,floral honey|sweet lime|chocolate,87.00,
Idido Marcala,Sey Coffee,"Honduras, Marcala",Catuaí,washed,light,stone fruit|chocolate|floral honey,85.50,
Marcala,Luna,"Honduras, Marcala",Catuaí,washed,light,stone fruit|floral honey|sweet lime,87.50,
Worka Marcala,Rubens Gardelli,"Honduras, Marcala",Bourbon,anaerobic,light,sweet lime|floral honey|chocolate,87.75,
Finca Deri Kochoha,Rubens Gardelli,"Honduras, Santa Bárbara",Parainema,washed,light,floral honey|chocolate|stone fruit,84.50,
Finca Deri Kochoha Parainema,Dak Coffee,"Honduras, Santa Bárbara",Parainema,honey,medium_dark,stone fruit|floral honey|sweet lime,83.75,
Santa Bárbara,April Coffee,"Honduras, Santa Bárbara",Catuaí,washed,light,floral honey|sweet lime|chocolate,87.25,
Bali Kintamani Typica,S&W Roasting,"Indonesia, Bali Kintamani",Typica,natural,medium_dark,dark chocolate|tobacco|cedar,85.75,
Danche Bali Kintamani,Drop Coffee,"Indonesia, Bali Kintamani",Typica,natural,light,spice|tamarind|dark chocolate,82.25,
Finca Los Pirineos,Passenger,"Indonesia, Bali Kintamani",Sigararutang,washed,medium_light,cedar|tamarind|dark chocolate,83.75,
Konga Bali Kintamani,Coffee Collective,"Indonesia, Bali Kintamani",Typica,natural,dark,dark chocolate|tobacco|tamarind,84.00,
Finca Chelbesa,Dak Coffee,"Indonesia, Java Frinsa",Ateng,natural,dark,tobacco|tamarind|dark chocolate,84.50,
Finca El Mirador Sigararutang,Bonanza,"Indonesia, Java Frinsa",Sigararutang,washed,medium,spice|cedar|dark chocolate,85.00,
Finca San José,Manhattan Coffee,"Indonesia, Java Frinsa",Typica,wet_hulled,medium,dark chocolate|spice|cedar,83.00,
Finca Santa Rosa Sigararutang,S&W Roasting,"Indonesia, Java Frinsa",Sigararutang,washed,medium_dark,cedar|tamarind|dark chocolate,84.75,
Finca Santa Rosa Typica,Square Mile,"Indonesia, Java Frinsa",Typica,natural,dark,spice|tobacco|cedar,83.50,
Java Frinsa Sigararutang,Gardelli,"Indonesia, Java Frinsa",Sigararutang,wet_hulled,medium_light,spice|dark chocolate|tobacco,84.00,
Java Frinsa Typica,Friedhats,"Indonesia, Java Frinsa",Typica,wet_hulled,light,tobacco|spice|dark chocolate,84.25,
Finca Buenos Aires,Manhattan Coffee,"Indonesia, Sumatra Aceh",Ateng,wet_hulled,dark,dark chocolate|tamarind|tobacco,85.00,
Finca La Palma,Luna,"Indonesia, Sumatra Aceh",Sigararutang,washed,medium_light,tamarind|spice|dark chocolate,86.00,
Finca Las Flores,Drop Coffee,"Indonesia, Sumatra Aceh",Sigararutang,wet_hulled,light,tamarind|cedar|spice,85.25,
Finca Las Flores,April Coffee,"Indonesia, Sumatra Aceh",Ateng,natural,light,cedar|dark chocolate|tobacco,86.00,
Finca Los Pirineos,Hydrangea,"Indonesia, Sumatra Aceh",Typica,washed,medium,spice|tobacco|tamarind,84.75,
Sumatra Aceh,Rubens Gardelli,"Indonesia, Sumatra Aceh",Ateng,natural,medium_dark,cedar|spice|dark chocolate,84.50,
Sumatra Aceh Lot #16,Rubens Gardelli,"Indonesia, Sumatra Aceh",Typica,washed,light,dark chocolate|cedar|tobacco,86.00,
Embu Lot #21,Nomad Coffee,"Kenya, Embu",SL28,natural,light,grapefruit|rhubarb|brown sugar,87.75,
Embu Lot #38,Passenger,"Kenya, Embu",Batian,honey,medium,brown sugar|blackcurrant|grapefruit,87.75,
Finca El Paraíso,Luna,"Kenya, Embu",SL34,washed,medium,blackcurrant|brown sugar|tomato,87.50,
Konga Embu,Gardelli,"Kenya, Embu",SL34,honey,dark,rhubarb|blackcurrant|grapefruit,89.50,
Worka Embu,Prodigal,"Kenya, Embu",SL28,honey,medium_light,grapefruit|tomato|brown sugar,89.25,
Finca Karogoto,Friedhats,"Kenya, Kiambu",SL34,washed,light,rhubarb|cranberry|brown sugar,88.50,
Finca La Esperanza Ruiru 11,Heart Roasters,"Kenya, Kiambu",Ruiru 11,washed,light,cranberry|blackcurrant|tomato,86.50,
Kiambu,The Barn,"Kenya, Kiambu",Batian,washed,light,brown sugar|cranberry|tomato,89.75,
Kiambu Batian,S&W Roasting,"Kenya, Kiambu",Batian,honey,medium,rhubarb|brown sugar|blackcurrant,88.50,
Kiambu Lot #15,Black & White,"Kenya, Kiambu",Ruiru 11,washed,medium_light,tomato|blackcurrant|brown sugar,87.00,
Kiambu Ruiru 11,Drop Coffee,"Kenya, Kiambu",Ruiru 11,washed,medium,rhubarb|grapefruit|tomato,88.00,
Kiambu SL34,Luna,"Kenya, Kiambu",SL34,washed,medium,blackcurrant|brown sugar|grapefruit,88.00,
Kirinyaga,Heart Roasters,"Kenya, Kirinyaga",SL34,honey,dark,grapefruit|blackcurrant|rhubarb,88.25,
Kirinyaga,Ditta Artigianale,"Kenya, Kirinyaga",Ruiru 11,washed,medium_dark,cranberry|grapefruit|brown sugar,87.75,
Kirinyaga Batian,Rubens Gardelli,"Kenya, Kirinyaga",Batian,washed,medium,cranberry|grapefruit|rhubarb,86.50,
Kirinyaga Lot #16,Prodigal,"Kenya, Kirinyaga",Ruiru 11,natural,medium,rhubarb|tomato|cranberry,88.00,
Kirinyaga SL34,Nomad Coffee,"Kenya, Kirinyaga",SL34,natural,light,brown sugar|cranberry|tomato,87.75,
Danche Nyeri,Nomad Coffee,"Kenya, Nyeri",Ruiru 11,washed,light,blackcurrant|grapefruit|tomato,87.25,
Finca Las Flores Batian,Gardelli,"Kenya, Nyeri",Batian,natural,light,tomato|grapefruit|blackcurrant,89.50,
Finca Santa Rosa,Sey Coffee,"Kenya, Nyeri",Ruiru 11,washed,light,cranberry|blackcurrant|tomato,89.25,
Konga Nyeri,La Cabra,"Kenya, Nyeri",Batian,anaerobic,dark,rhubarb|blackcurrant|grapefruit,89.25,
Nyeri,Manhattan Coffee,"Kenya, Nyeri",SL34,washed,light,rhubarb|cranberry|tomato,88.25,
Nyeri,S&W Roasting,"Kenya, Nyeri",SL28,washed,medium_light,tomato|cranberry|blackcurrant,88.25,
Nyeri,Nomad Coffee,"Kenya, Nyeri",Batian,washed,light,blackcurrant|grapefruit|cranberry,86.75,
Nyeri SL34,Gardelli,"Kenya, Nyeri",SL34,washed,medium,cranberry|brown sugar|tomato,89.00,
Boquete,Gardelli,"Panama, Boquete",Caturra,honey,dark,jasmine|papaya|honeysuckle,90.75,
Boquete Lot #20,Tim Wendelboe,"Panama, Boquete",Pacamara,natural,dark,honeysuckle|papaya|white grape,88.25,
Boquete Lot #42,Onyx Coffee Lab,"Panama, Boquete",Caturra,washed,medium,mango|jasmine|white grape,91.25,
Finca El Paraíso,Square Mile,"Panama, Boquete",Geisha,honey,medium_dark,honeysuckle|mango|jasmine,89.75,
Finca El Paraíso Caturra,Friedhats,"Panama, Volcán",Caturra,washed,medium_dark,jasmine|papaya|mango,88.25,
Finca La Palma,Coffee Collective,"Panama, Volcán",Geisha,natural,medium,mango|white grape|papaya,92.25,
Finca Santa Rosa,Prodigal,"Panama, Volcán",Geisha,natural,medium,papaya|mango|honeysuckle,91.75,
Idido Volcán,Black & White,"Panama, Volcán",Geisha,natural,medium,honeysuckle|papaya|mango,90.25,
Nemba Volcán,Brandywine,"Panama, Volcán",Caturra,washed,medium_dark,honeysuckle|papaya|jasmine,88.75,
Volcán,La Cabra,"Panama, Volcán",Geisha,washed,medium,honeysuckle|mango|white grape,87.00,
Volcán Caturra,Luna,"Panama, Volcán",Caturra,natural,medium,honeysuckle|jasmine|white grape,87.25,
Volcán Geisha,Coffee Collective,"Panama, Volcán",Geisha,washed,medium,papaya|white grape|jasmine,88.00,
Volcán Lot #47,Dak Coffee,"Panama, Volcán",Caturra,washed,light,white grape|jasmine|honeysuckle,88.00,
Volcán Lot #47,Black & White,"Panama, Volcán",Pacamara,washed,dark,mango|jasmine|white grape,88.25,
Volcán Pacamara,Black & White,"Panama, Volcán",Pacamara,natural,light,honeysuckle|white grape|papaya,91.00,
Worka Volcán,Passenger,"Panama, Volcán",Caturra,honey,light,mango|jasmine|white grape,91.00,
Amazonas,The Barn,"Peru, Amazonas",Geisha,natural,light,walnut|dark chocolate|pear,85.50,
Amazonas Lot #43,Drop Coffee,"Peru, Amazonas",Bourbon,honey,light,dark chocolate|lime|brown sugar,84.50,
Finca Karogoto Geisha,Passenger,"Peru, Amazonas",Geisha,washed,medium_light,dark chocolate|brown sugar|pear,85.50,
Cajamarca,Sey Coffee,"Peru, Cajamarca",Geisha,natural,medium_light,walnut|pear|brown sugar,85.00,
Danche Cajamarca,Friedhats,"Peru, Cajamarca",Bourbon,natural,light,walnut|lime|dark chocolate,84.00,
Finca El Mirador,Coffee Collective,"Peru, Cajamarca",Typica,anaerobic,medium_light,brown sugar|dark chocolate|walnut,84.75,
Finca San José,Brandywine,"Peru, Cajamarca",Bourbon,anaerobic,medium,brown sugar|pear|dark chocolate,83.50,
Gitwe Cajamarca,Black & White,"Peru, Cajamarca",Caturra,natural,medium_dark,lime|brown sugar|walnut,86.75,
Gitwe Cajamarca,Coffee Collective,"Peru, Cajamarca",Caturra,natural,light,lime|dark chocolate|brown sugar,83.25,
Cusco Caturra,Passenger,"Peru, Cusco",Caturra,washed,light,lime|brown sugar|walnut,87.00,
Cusco Geisha,Manhattan Coffee,"Peru, Cusco",Geisha,natural,medium,pear|brown sugar|lime,85.75,
Cusco Typica,Coffee Collective,"Peru, Cusco",Typica,natural,light,dark chocolate|lime|pear,84.00,
Konga Cusco,Luna,"Peru, Cusco",Geisha,washed,light,dark chocolate|lime|pear,83.50,
Konga Cusco,Nomad Coffee,"Peru, Cusco",Bourbon,natural,dark,lime|brown sugar|pear,83.50,
Finca Buenos Aires Red Bourbon,Koppi,"Rwanda, Gakenke",Red Bourbon,natural,medium,orange blossom|cranberry|plum,86.50,
Finca El Mirador Red Bourbon,Bonanza,"Rwanda, Gakenke",Red Bourbon,natural,medium,honey|black tea|cranberry,87.75,
Finca La Palma,Nomad Coffee,"Rwanda, Gakenke",Red Bourbon,honey,medium_dark,plum|black tea|honey,86.50,
Finca Long Miles,Sey Coffee,"Rwanda, Gakenke",Red Bourbon,anaerobic,light,honey|black tea|orange blossom,86.00,
Finca El Paraíso Red Bourbon,Black & White,"Rwanda, Huye",Red Bourbon,washed,medium_light,black tea|orange blossom|plum,86.75,
Huye Lot #13,Koppi,"Rwanda, Huye",Red Bourbon,honey,medium,plum|orange blossom|honey,86.25,
Huye Red Bourbon,Manhattan Coffee,"Rwanda, Huye",Red Bourbon,natural,dark,plum|orange blossom|honey,86.50,
Finca Los Pirineos,Nomad Coffee,"Rwanda, Nyamasheke",Red Bourbon,washed,light,orange blossom|plum|honey,87.25,
Nyamasheke Lot #26,Hydrangea,"Rwanda, Nyamasheke",Red Bourbon,anaerobic,medium,black tea|orange blossom|cranberry,85.75,
Nyamasheke Red Bourbon,Onyx Coffee Lab,"Rwanda, Nyamasheke",Red Bourbon,washed,medium,orange blossom|honey|cranberry,87.50,
